company_id,industry,snapshot_date,p_default_6m,flagged,tier,ews_red_flag_count,avg_days_beyond_terms_3m_chg
CMP102163,IT Services,2026-08-31,0.1388,True,High priority,4,-0.9
CMP100712,Pharma,2026-08-31,0.137,True,High priority,1,8.1
CMP100700,Retail,2026-08-31,0.1341,True,High priority,1,6.6
CMP102800,FMCG,2026-08-31,0.134,True,High priority,1,0.7
CMP100062,Logistics,2026-08-31,0.1337,True,High priority,0,7.7
CMP101821,IT Services,2026-08-31,0.1326,True,High priority,0,2.9
CMP100548,Construction,2026-08-31,0.1319,True,High priority,0,6.2
CMP102677,Pharma,2026-08-31,0.1316,True,High priority,3,-3.0
CMP100830,Logistics,2026-08-31,0.1299,True,High priority,3,4.2
CMP100786,Pharma,2026-08-31,0.1293,True,High priority,2,5.7
CMP102151,Manufacturing,2026-08-31,0.1291,True,High priority,1,0.5
CMP100263,Manufacturing,2026-08-31,0.1289,True,High priority,2,3.8
CMP101180,Construction,2026-08-31,0.1258,True,High priority,1,6.3
CMP102692,Pharma,2026-08-31,0.1251,True,High priority,0,9.4
CMP100537,Manufacturing,2026-08-31,0.1242,True,High priority,1,2.9
CMP101294,Retail,2026-08-31,0.1227,True,High priority,2,9.8
CMP101455,Manufacturing,2026-08-31,0.1182,True,High priority,4,7.3
CMP101053,Manufacturing,2026-08-31,0.118,True,High priority,0,2.7
CMP101356,Logistics,2026-08-31,0.1168,True,High priority,1,-0.1
CMP101341,Pharma,2026-08-31,0.1163,True,High priority,3,10.3
CMP102893,Logistics,2026-08-31,0.1161,True,High priority,1,6.3
CMP102681,Pharma,2026-08-31,0.1153,True,High priority,2,-2.7
CMP102891,FMCG,2026-08-31,0.114,True,High priority,2,6.8
CMP100769,Logistics,2026-08-31,0.1138,True,High priority,1,3.1
CMP100330,Construction,2026-08-31,0.1134,True,High priority,2,2.4
CMP102520,Manufacturing,2026-08-31,0.1129,True,High priority,0,5.9
CMP102874,Manufacturing,2026-08-31,0.1114,True,High priority,4,4.3
CMP102315,Retail,2026-08-31,0.111,True,High priority,0,4.2
CMP101205,Manufacturing,2026-08-31,0.111,True,High priority,2,4.7
CMP102804,Manufacturing,2026-08-31,0.1106,True,High priority,3,17.9
CMP100572,IT Services,2026-08-31,0.1092,True,High priority,4,0.6
CMP100955,FMCG,2026-08-31,0.1088,True,High priority,0,6.4
CMP102585,IT Services,2026-08-31,0.1053,True,High priority,0,11.9
CMP102165,Retail,2026-08-31,0.1038,True,High priority,2,1.7
CMP101685,Retail,2026-08-31,0.1031,True,High priority,1,14.1
CMP100266,Retail,2026-08-31,0.103,True,High priority,2,7.4
CMP100475,Retail,2026-08-31,0.1025,True,High priority,1,-5.7
CMP102026,Pharma,2026-08-31,0.1024,True,High priority,1,-5.0
CMP102530,Logistics,2026-08-31,0.1016,True,High priority,1,5.0
CMP102880,Manufacturing,2026-08-31,0.1013,True,High priority,2,-4.9
CMP100870,Construction,2026-08-31,0.1009,True,High priority,1,2.0
CMP101238,Manufacturing,2026-08-31,0.1007,True,High priority,0,0.9
CMP101284,FMCG,2026-08-31,0.1004,True,High priority,0,-3.8
CMP100859,IT Services,2026-08-31,0.0999,True,High priority,3,4.5
CMP100269,Manufacturing,2026-08-31,0.0995,True,High priority,0,-1.0
CMP100966,FMCG,2026-08-31,0.0989,True,High priority,2,0.1
CMP101260,Manufacturing,2026-08-31,0.0989,True,High priority,0,5.5
CMP102866,IT Services,2026-08-31,0.0979,True,High priority,2,2.2
CMP100710,FMCG,2026-08-31,0.0961,True,High priority,3,2.8
CMP101141,Pharma,2026-08-31,0.0958,True,High priority,2,0.1
CMP101924,Retail,2026-08-31,0.0944,True,High priority,2,-3.4
CMP101032,IT Services,2026-08-31,0.094,True,High priority,2,0.2
CMP102991,Pharma,2026-08-31,0.0926,True,High priority,2,-7.6
CMP101018,Manufacturing,2026-08-31,0.0925,True,High priority,1,4.8
CMP100393,Construction,2026-08-31,0.0914,True,High priority,0,10.1
CMP102417,Logistics,2026-08-31,0.091,True,High priority,1,-0.1
CMP100731,Manufacturing,2026-08-31,0.0892,True,High priority,1,-0.0
CMP101768,Manufacturing,2026-08-31,0.0892,True,High priority,0,2.9
CMP102296,Construction,2026-08-31,0.0887,True,High priority,1,5.5
CMP102294,Retail,2026-08-31,0.0884,True,High priority,1,-0.8
CMP101535,IT Services,2026-08-31,0.0881,True,High priority,2,1.9
CMP102142,Construction,2026-08-31,0.0876,True,High priority,2,-6.6
CMP101619,Manufacturing,2026-08-31,0.0875,True,High priority,0,-7.8
CMP102122,Retail,2026-08-31,0.0873,True,High priority,1,14.0
CMP100655,Retail,2026-08-31,0.0868,True,High priority,0,4.0
CMP100647,IT Services,2026-08-31,0.0862,True,High priority,1,4.5
CMP101913,Logistics,2026-08-31,0.0851,True,High priority,1,2.6
CMP101553,Retail,2026-08-31,0.0851,True,High priority,0,7.4
CMP101894,Retail,2026-08-31,0.0845,True,High priority,0,8.5
CMP100785,Retail,2026-08-31,0.0839,True,High priority,2,3.5
CMP101783,Manufacturing,2026-08-31,0.0836,True,High priority,1,-3.2
CMP100251,Pharma,2026-08-31,0.0836,True,High priority,0,-0.3
CMP100116,Construction,2026-08-31,0.0833,True,High priority,0,-9.2
CMP102239,Logistics,2026-08-31,0.0821,True,High priority,1,2.1
CMP101566,Manufacturing,2026-08-31,0.0818,True,High priority,1,6.5
CMP101767,Manufacturing,2026-08-31,0.0814,True,High priority,0,1.9
CMP101580,FMCG,2026-08-31,0.0808,True,High priority,1,-8.6
CMP100738,IT Services,2026-08-31,0.0788,True,High priority,2,8.5
CMP101844,Manufacturing,2026-08-31,0.0781,True,High priority,1,-7.1
CMP100836,Construction,2026-08-31,0.078,True,High priority,1,2.5
CMP101569,IT Services,2026-08-31,0.0779,True,High priority,1,-9.6
CMP102259,IT Services,2026-08-31,0.0768,True,High priority,3,2.2
CMP102798,Construction,2026-08-31,0.0754,True,High priority,0,6.7
CMP100565,Construction,2026-08-31,0.0751,True,High priority,1,-5.7
CMP100072,Pharma,2026-08-31,0.0748,True,High priority,1,1.6
CMP102128,Manufacturing,2026-08-31,0.0747,True,High priority,1,1.8
CMP100678,Manufacturing,2026-08-31,0.0747,True,High priority,1,-9.7
CMP101184,Manufacturing,2026-08-31,0.0744,True,High priority,1,4.8
CMP100525,Retail,2026-08-31,0.074,True,High priority,1,-5.4
CMP102117,Manufacturing,2026-08-31,0.0738,True,High priority,1,8.3
CMP101400,IT Services,2026-08-31,0.0737,True,High priority,0,6.6
CMP100567,Manufacturing,2026-08-31,0.0735,True,High priority,1,-2.9
CMP100693,Retail,2026-08-31,0.0734,True,High priority,0,0.6
CMP101056,FMCG,2026-08-31,0.0725,True,High priority,1,-0.1
CMP101746,Construction,2026-08-31,0.0723,True,High priority,1,7.0
CMP101670,Retail,2026-08-31,0.0719,True,High priority,0,3.2
CMP102538,Manufacturing,2026-08-31,0.0718,True,High priority,1,4.8
CMP100372,Retail,2026-08-31,0.0714,True,High priority,1,-0.8
CMP101664,FMCG,2026-08-31,0.0707,True,High priority,1,8.5
CMP100706,Pharma,2026-08-31,0.0699,True,High priority,1,11.9
CMP100522,Manufacturing,2026-08-31,0.0699,True,High priority,0,3.9
CMP100784,FMCG,2026-08-31,0.0693,True,High priority,1,5.0
CMP100894,Construction,2026-08-31,0.069,True,High priority,1,-1.3
CMP100457,IT Services,2026-08-31,0.0686,True,High priority,1,9.5
CMP101035,Construction,2026-08-31,0.0686,True,High priority,2,-10.4
CMP101216,Retail,2026-08-31,0.0685,True,High priority,2,2.1
CMP100979,Manufacturing,2026-08-31,0.0683,True,High priority,0,-5.1
CMP101916,Construction,2026-08-31,0.0675,True,High priority,0,11.1
CMP100248,IT Services,2026-08-31,0.0674,True,High priority,3,-3.6
CMP102475,Manufacturing,2026-08-31,0.0672,True,High priority,1,7.1
CMP101140,Retail,2026-08-31,0.0671,True,High priority,1,17.5
CMP101016,Construction,2026-08-31,0.0671,True,High priority,2,-3.8
CMP101349,Manufacturing,2026-08-31,0.0668,True,High priority,0,-9.3
CMP101068,Manufacturing,2026-08-31,0.0666,True,High priority,1,4.9
CMP101462,Manufacturing,2026-08-31,0.0663,True,High priority,1,-9.1
CMP101382,Logistics,2026-08-31,0.0659,True,High priority,1,-2.4
CMP102626,Logistics,2026-08-31,0.0658,True,High priority,1,2.3
CMP102092,Logistics,2026-08-31,0.0658,True,High priority,1,-6.8
CMP100622,FMCG,2026-08-31,0.0651,True,High priority,1,-9.1
CMP100775,Pharma,2026-08-31,0.065,True,High priority,1,0.6
CMP102766,IT Services,2026-08-31,0.0649,True,High priority,3,-0.1
CMP101012,IT Services,2026-08-31,0.0648,True,High priority,0,-1.3
CMP101392,Manufacturing,2026-08-31,0.0646,True,High priority,0,3.9
CMP101900,Logistics,2026-08-31,0.0641,True,High priority,1,-1.8
CMP102007,Manufacturing,2026-08-31,0.064,True,High priority,1,1.5
CMP101008,Construction,2026-08-31,0.0639,True,High priority,0,-1.7
CMP101827,IT Services,2026-08-31,0.0632,True,High priority,1,7.4
CMP100597,Logistics,2026-08-31,0.0631,True,High priority,2,1.2
CMP102973,FMCG,2026-08-31,0.0631,True,High priority,0,-5.1
CMP101093,Retail,2026-08-31,0.0628,True,High priority,0,1.9
CMP101270,FMCG,2026-08-31,0.0623,True,High priority,2,-5.5
CMP102652,Pharma,2026-08-31,0.0623,True,High priority,1,8.7
CMP100068,Manufacturing,2026-08-31,0.0618,True,High priority,1,-2.0
CMP102588,IT Services,2026-08-31,0.0617,True,High priority,1,0.2
CMP102001,IT Services,2026-08-31,0.0617,True,High priority,3,0.4
CMP101447,Logistics,2026-08-31,0.0613,True,High priority,0,-0.4
CMP102098,Manufacturing,2026-08-31,0.0613,True,High priority,2,-1.2
CMP100855,IT Services,2026-08-31,0.061,True,High priority,1,-1.0
CMP102690,FMCG,2026-08-31,0.0608,True,High priority,0,-5.5
CMP100287,IT Services,2026-08-31,0.0605,True,High priority,1,-3.5
CMP102931,Manufacturing,2026-08-31,0.0604,True,High priority,1,4.7
CMP101934,Construction,2026-08-31,0.0604,True,High priority,1,1.4
CMP102352,Retail,2026-08-31,0.06,True,High priority,2,3.6
CMP101672,Construction,2026-08-31,0.0596,True,High priority,1,-4.9
CMP102926,Construction,2026-08-31,0.0594,True,High priority,1,6.8
CMP100716,Logistics,2026-08-31,0.0593,True,High priority,0,0.8
CMP101986,Retail,2026-08-31,0.0592,True,High priority,1,3.2
CMP101220,Manufacturing,2026-08-31,0.0585,True,High priority,0,-1.9
CMP101037,IT Services,2026-08-31,0.0584,True,High priority,1,3.2
CMP100354,IT Services,2026-08-31,0.0584,True,High priority,0,1.2
CMP102487,Pharma,2026-08-31,0.0581,True,High priority,0,6.8
CMP100996,Logistics,2026-08-31,0.0575,True,High priority,0,-5.7
CMP100324,Pharma,2026-08-31,0.0574,True,High priority,0,-0.5
CMP100872,FMCG,2026-08-31,0.0573,True,High priority,0,4.0
CMP101519,Manufacturing,2026-08-31,0.0573,True,High priority,2,3.5
CMP102349,Manufacturing,2026-08-31,0.0572,True,High priority,1,4.5
CMP100086,Construction,2026-08-31,0.0568,True,High priority,0,-3.9
CMP100256,Pharma,2026-08-31,0.0566,True,High priority,1,2.0
CMP102119,Retail,2026-08-31,0.0563,True,High priority,1,12.7
CMP102483,Retail,2026-08-31,0.0558,True,High priority,0,-8.1
CMP101833,Manufacturing,2026-08-31,0.0552,True,High priority,1,5.0
CMP100864,Manufacturing,2026-08-31,0.0545,True,High priority,1,-2.3
CMP101245,Retail,2026-08-31,0.0542,True,High priority,2,6.2
CMP101770,Logistics,2026-08-31,0.0541,True,Watch,1,1.2
CMP100159,Construction,2026-08-31,0.0541,True,Watch,1,2.6
CMP102647,Pharma,2026-08-31,0.0538,True,Watch,2,0.5
CMP102801,IT Services,2026-08-31,0.0538,True,Watch,0,0.6
CMP100950,Logistics,2026-08-31,0.0537,True,Watch,2,4.5
CMP101522,FMCG,2026-08-31,0.0535,True,Watch,0,-2.0
CMP101866,FMCG,2026-08-31,0.0535,True,Watch,0,-3.1
CMP101131,IT Services,2026-08-31,0.0534,True,Watch,1,1.8
CMP100230,Manufacturing,2026-08-31,0.0533,True,Watch,1,4.8
CMP101288,IT Services,2026-08-31,0.0533,True,Watch,2,-0.2
CMP100610,Logistics,2026-08-31,0.0533,True,Watch,0,-0.9
CMP100431,Construction,2026-08-31,0.0529,True,Watch,0,-6.9
CMP100535,Manufacturing,2026-08-31,0.0527,True,Watch,1,10.5
CMP100571,Pharma,2026-08-31,0.0525,True,Watch,2,-1.7
CMP101617,Logistics,2026-08-31,0.0525,True,Watch,1,-4.5
CMP100371,Retail,2026-08-31,0.0525,True,Watch,1,-9.3
CMP102671,IT Services,2026-08-31,0.0525,True,Watch,1,4.9
CMP101181,Manufacturing,2026-08-31,0.0523,True,Watch,0,-4.3
CMP101197,Construction,2026-08-31,0.0522,True,Watch,2,2.1
CMP102191,Logistics,2026-08-31,0.0519,True,Watch,1,-7.8
CMP101435,FMCG,2026-08-31,0.0517,True,Watch,1,5.1
CMP102557,Retail,2026-08-31,0.0516,True,Watch,1,3.7
CMP100810,Manufacturing,2026-08-31,0.0515,True,Watch,0,6.5
CMP102895,Manufacturing,2026-08-31,0.0512,True,Watch,2,0.7
CMP102202,FMCG,2026-08-31,0.0508,True,Watch,0,-7.2
CMP102948,FMCG,2026-08-31,0.0507,True,Watch,1,-1.8
CMP100333,Pharma,2026-08-31,0.0507,True,Watch,0,5.9
CMP100198,Manufacturing,2026-08-31,0.0506,True,Watch,1,-5.1
CMP100467,FMCG,2026-08-31,0.0504,True,Watch,0,3.9
CMP100097,Manufacturing,2026-08-31,0.0503,True,Watch,0,7.0
CMP101486,FMCG,2026-08-31,0.0503,True,Watch,0,9.1
CMP100857,Pharma,2026-08-31,0.0502,True,Watch,0,4.3
CMP101506,Construction,2026-08-31,0.0501,True,Watch,0,2.2
CMP102584,Manufacturing,2026-08-31,0.05,True,Watch,0,8.1
CMP100925,Retail,2026-08-31,0.0499,True,Watch,1,-4.6
CMP100173,FMCG,2026-08-31,0.0497,True,Watch,0,-3.3
CMP102577,Pharma,2026-08-31,0.0496,True,Watch,2,1.3
CMP102046,IT Services,2026-08-31,0.0495,True,Watch,0,1.9
CMP100016,Logistics,2026-08-31,0.0492,True,Watch,2,-1.4
CMP100089,IT Services,2026-08-31,0.0492,True,Watch,0,-0.0
CMP101418,FMCG,2026-08-31,0.049,True,Watch,0,-1.4
CMP100730,Retail,2026-08-31,0.049,True,Watch,0,0.6
CMP102714,Pharma,2026-08-31,0.049,True,Watch,1,2.9
CMP101943,Manufacturing,2026-08-31,0.0489,True,Watch,0,-1.1
CMP101148,IT Services,2026-08-31,0.0488,True,Watch,0,-2.9
CMP100729,IT Services,2026-08-31,0.0488,True,Watch,0,-4.4
CMP100557,IT Services,2026-08-31,0.0488,True,Watch,1,-5.7
CMP102440,FMCG,2026-08-31,0.0488,True,Watch,0,4.4
CMP101492,Construction,2026-08-31,0.0488,True,Watch,0,1.8
CMP100246,Logistics,2026-08-31,0.0487,True,Watch,0,-5.0
CMP100600,IT Services,2026-08-31,0.0486,True,Watch,0,-0.2
CMP101935,Manufacturing,2026-08-31,0.0485,True,Watch,1,-3.6
CMP100932,IT Services,2026-08-31,0.0484,True,Watch,1,4.9
CMP102248,IT Services,2026-08-31,0.0484,True,Watch,1,-1.9
CMP100501,FMCG,2026-08-31,0.0484,True,Watch,1,9.5
CMP102032,Retail,2026-08-31,0.0483,True,Watch,1,0.8
CMP100793,Manufacturing,2026-08-31,0.0483,True,Watch,0,10.3
CMP100472,Manufacturing,2026-08-31,0.0482,True,Watch,1,6.0
CMP100061,IT Services,2026-08-31,0.0482,True,Watch,0,3.3
CMP100022,FMCG,2026-08-31,0.0482,True,Watch,1,2.3
CMP102589,IT Services,2026-08-31,0.048,True,Watch,0,-10.4
CMP101773,FMCG,2026-08-31,0.0479,True,Watch,0,5.1
CMP100736,Manufacturing,2026-08-31,0.0478,True,Watch,3,14.4
CMP100142,FMCG,2026-08-31,0.0478,True,Watch,1,4.7
CMP102030,Manufacturing,2026-08-31,0.0474,True,Watch,0,1.5
CMP102482,Manufacturing,2026-08-31,0.0474,True,Watch,0,1.7
CMP102969,Manufacturing,2026-08-31,0.0474,True,Watch,0,7.4
CMP101804,Construction,2026-08-31,0.0473,True,Watch,1,5.0
CMP102749,Manufacturing,2026-08-31,0.047,True,Watch,2,14.0
CMP100024,Construction,2026-08-31,0.047,True,Watch,1,2.4
CMP102779,Manufacturing,2026-08-31,0.0469,True,Watch,0,6.3
CMP102910,Construction,2026-08-31,0.0467,True,Watch,1,1.4
CMP100241,Pharma,2026-08-31,0.0467,True,Watch,1,-2.3
CMP100726,Retail,2026-08-31,0.0467,True,Watch,1,-4.5
CMP101327,Logistics,2026-08-31,0.0467,True,Watch,0,12.6
CMP102710,FMCG,2026-08-31,0.0467,True,Watch,0,-0.4
CMP102574,Logistics,2026-08-31,0.0466,True,Watch,1,-3.8
CMP100362,Manufacturing,2026-08-31,0.0465,True,Watch,1,-4.3
CMP102036,FMCG,2026-08-31,0.0465,True,Watch,0,-6.5
CMP102069,IT Services,2026-08-31,0.0463,True,Watch,0,-6.4
CMP100207,Construction,2026-08-31,0.0462,True,Watch,0,-8.0
CMP101258,Logistics,2026-08-31,0.0461,True,Watch,0,-6.8
CMP101280,Retail,2026-08-31,0.0459,True,Watch,0,-0.8
CMP101669,Pharma,2026-08-31,0.0459,True,Watch,1,2.6
CMP101001,IT Services,2026-08-31,0.0458,True,Watch,1,2.7
CMP100147,Logistics,2026-08-31,0.0457,True,Watch,1,3.9
CMP100720,IT Services,2026-08-31,0.0457,True,Watch,2,-7.2
